category,sumViewCount
Music,31245719970
Trailers,9212795256
Shows,4002548587
Family,3048251632
Shorts,2901231208
Horror,2674017800
Drama,2336903356
People & Blogs,2192558671
Film & Animation,1897866928
Movies,1894626826
Pets & Animals,1621601689
Foreign,1479983265
Comedy,1255283019
Thriller,1087243863
Education,1056796013
Short Movies,1021655477
Anime/Animation,853302927
Autos & Vehicles,852924616
Classics,845783609
Howto & Style,836909601
Sports,606306233
Gaming,585050815
Entertainment,491058789
Documentary,443730461
Travel & Events,363068083
Action/Adventure,149278218
Science & Technology,119082847
News & Politics,104188636
Sci-Fi/Fantasy,102653048
Videoblogging,15399151
Nonprofits & Activis,13227282
