category,avgViewCount
Music,29164216546
Trailers,8492709528
Shows,3930144174
Horror,2597287832
Family,2384869197
Drama,2098875717
People & Blogs,2025246872
Shorts,1834987629
Film & Animation,1733749217
Pets & Animals,1607979118
Movies,1533620441
Comedy,1218696663
Thriller,1008973429
Short Movies,978975164
Education,896895666
Anime/Animation,844717971
Autos & Vehicles,830990262
Classics,816406337
Sports,649349738
Howto & Style,595598949
Gaming,552991337
Foreign,487468022
Entertainment,421227617
Documentary,402395763
Travel & Events,316558543
Science & Technology,117735562
News & Politics,103379529
Sci-Fi/Fantasy,101797698
Action/Adventure,93753872
Videoblogging,14368048
Nonprofits & Activis,12899203
