videoId,category,viewCount,likeCount
3yd_eoMOvqk,Shows,442373914,3372698
eYfFDaPdkWc,Shows,33187281,1590003
PnAMEe0GGG8,Shows,331672629,1153546
DUZM0ux60-Q,Shows,52437406,943997
kePAl0YbmbM,Shows,40369033,694362
Rmp6zIr5y4U,Shows,98470183,612924
soC-46cfs_w,Shows,205801988,594265
oNWOC_Pvo4w,Shows,84662605,544094
2OFKM2G-dE8,Shows,22897795,513664
kiuucxNmY-w,Shows,77305845,487678
YR5ApYxkU-U,Education,282963595,1224816
dqTTojTija8,Education,8924333,522518
iKcWu0tsiZM,Education,9165397,287648
y_ZmM7zPLyI,Education,8758650,202172
Qn_dcNw57tQ,Education,9265088,180925
L0jQz6jqQS0,Education,14980762,177625
MhS6oqwwOhw,Education,11061669,161460
iG9CE55wbtY,Education,13906100,134329
xp2qjshr-r4,Education,6368155,123489
zDZFcDGpL4U,Education,15093608,110058
sOnqjkJTMaA,Thriller,471837374,2174469
hXsDQLR8lns,Thriller,5026806,214929
4V90AmXnguw,Thriller,44303111,196733
hMnk7lh9M3o,Thriller,58030189,142653
xIx_HbmRnQY,Thriller,33638573,131223
khE7pSOgDbA,Thriller,9007893,108303
CiZBw9Memrc,Thriller,16094909,106597
7DOzITFjq70,Thriller,18344593,72049
T3wmW3RZBok,Thriller,13387423,62044
ZEHsIcsjtdI,Thriller,17548342,57858
KHoOrFdgYR8,Gaming,23284215,308811
z7KgCe8jSVA,Gaming,9414351,264692
-4yI-VEA8pw,Gaming,34565016,258951
UGLdDM6Qs4A,Gaming,2866303,230747
nzZrBWLaxfg,Gaming,11055970,206567
LXOaCkbt4lI,Gaming,5058498,202393
IXx6JCi0jjE,Gaming,6459473,197170
O-hjz5Cw8EY,Gaming,5917468,172552
Ju82YfQw7DA,Gaming,2220176,157385
pHVn4kaNC3g,Gaming,6302067,137807
tJ7JcweIOZ4,Entertainment,93433865,516080
Ku_FYERiHC8,Entertainment,6427548,223920
IsPFDzAGb4A,Entertainment,34943007,187615
sAOzrChqmd0,Entertainment,4584385,95296
29JBFme4k1A,Entertainment,5252513,92310
9pqGGChiAjM,Entertainment,18334379,77791
QHoqD47gQG8,Entertainment,2646626,68975
L7XBQRV98mI,Entertainment,18679893,66453
h7Nv1Jy1d0Y,Entertainment,10556076,58038
FL7P64p-nEE,Entertainment,6000361,45754
HvfBz-kbbz8,Videoblogging,827778,26651
4LwVYPGfRZQ,Videoblogging,2010633,15179
yQgIyPO0v-I,Videoblogging,216872,6428
sUF42fC7mV4,Videoblogging,414126,6182
HXDqZaYs4k4,Videoblogging,193042,5826
3IE9QkmdW5g,Videoblogging,111514,5731
TxyvS85GyqM,Videoblogging,4220480,4229
zVvx7oxz4VQ,Videoblogging,69770,3790
0jzgL5KzBQ0,Videoblogging,155953,3482
xRVuTuhWEq0,Videoblogging,141865,2876
iqKdEhx-dD4,Travel & Events,15461398,313361
cOqKQ-8X-Yo,Travel & Events,21709243,293602
nwpj9_hrK_A,Travel & Events,20188679,275722
chLOgj8xjx8,Travel & Events,4066545,135598
efyvBo5timY,Travel & Events,5545410,118770
Rip0bX2qrIs,Travel & Events,19094255,111642
9mVRc80vhhQ,Travel & Events,5502680,110682
7oaGUg7ik_c,Travel & Events,8266229,84939
0d37JP1vZk8,Travel & Events,1405039,82524
ap4eVlcYLww,Travel & Events,4270207,76274
VzudVzZE7LE,Science & Technology,38819781,167659
HpaHvUOk3F0,Science & Technology,7720778,134460
VoLZXXQL-YY,Science & Technology,17414189,123156
mpw_FB2QrjQ,Science & Technology,4478463,74061
-vZXgApsPCQ,Science & Technology,1288291,53162
vHbLRf3C9KI,Science & Technology,5590103,48211
UBuH1b0Dqm0,Science & Technology,1192343,20208
_h2VmkM5nXE,Science & Technology,18136331,17190
SV6VeSoBEag,Science & Technology,1092623,16151
t0R0Xr0e-uk,Science & Technology,2917241,10107
6Prfg3vyZkA,Foreign,99783277,898311
bWpgmTJdKuk,Foreign,7483717,352633
1igqFmRhqB0,Foreign,3622292,318259
Bw2w3oCROR8,Foreign,28515417,291347
cjj2E9dwjjU,Foreign,60807128,265085
WzmJ1KrU62I,Foreign,19014287,239525
ItHJ2KpNTT0,Foreign,3432019,197674
ISYSXuTEhtQ,Foreign,12766952,109343
pZOF9q5fzfs,Foreign,13579229,104957
a4e5KVkzeGw,Foreign,9884752,95823
GUM-broRYeE,Sports,3419007,315549
_lyAEL4Wqao,Sports,44512978,270346
gpJlZBcKBXg,Sports,6444741,206153
pglMl92P-OA,Sports,5689640,119406
vE56yL6g8ck,Sports,1809362,103031
kJBLEPMcX2s,Sports,20937317,93935
phax6W2c_C4,Sports,982323,88310
i-GsIPBEnp8,Sports,12462675,79723
ZwFduYkHRMo,Sports,1454864,76144
tL_GyOBuBGA,Sports,1786289,72139
SC4xMk98Pdc,Drama,602164892,3306279
xKKeqlBQ3Js,Drama,382354218,1549893
py6GDNgye6k,Drama,196520852,817738
Q-GOFPM01d0,Drama,128436647,767077
b7gor9UB7Qg,Drama,61457918,587770
OrV71Fny7h8,Drama,40910815,275406
yMfgjVlGbUE,Drama,14195449,271546
zLE_za2YWsQ,Drama,3771159,257222
E7sP6t1QyrI,Drama,15706121,222190
2reryH40uqM,Drama,6130301,184295
AYyPqme2wZU,Documentary,41528339,291506
BXyfCGDnuWs,Documentary,8208467,261023
Dyg32hMf7Fk,Documentary,39215855,233952
n1GUQVo1Lps,Documentary,28151435,211288
UQq7C2hwXu0,Documentary,14357351,173845
j-xxis7hDOE,Documentary,10809262,105846
0NChtZCDCsY,Documentary,10543655,93357
3R3cvbLsbAk,Documentary,6088212,88720
NGOjFhKeLiU,Documentary,7030016,77731
pDk5gaKQsnw,Documentary,3748720,64856
k0ERi0Bt8Gk,Howto & Style,117923884,591158
