category,sum(viewCount),sum(likeCount),sum(dislikeCount),sum(favoriteCount)
Shows,4002548587,23675719,1617717,0
Education,1056796013,4697875,563362,0
Thriller,1087243863,4803345,344503,0
Gaming,585050815,6844456,313314,0
Entertainment,491058789,2778123,187589,0
Videoblogging,15399151,144586,10839,0
Travel & Events,363068083,3721489,303588,0
Science & Technology,119082847,759815,94943,0
Foreign,1479983265,9153797,759287,0
Sports,606306233,3709223,279231,0
Drama,2336903356,13122343,965873,0
Documentary,443730461,2963570,376988,0
Howto & Style,836909601,7002897,586439,0
Anime/Animation,853302927,9788046,389183,0
Film & Animation,1897866928,6427988,1317864,0
Sci-Fi/Fantasy,102653048,581938,62061,0
Family,3048251632,12790894,1289832,0
People & Blogs,2192558671,31283914,1323616,0
News & Politics,104188636,999364,67650,0
Pets & Animals,1621601689,6548208,674322,0
Movies,1894626826,7543597,778154,0
Autos & Vehicles,852924616,2374849,540085,0
Classics,845783609,5841849,333439,0
Action/Adventure,149278218,454197,93491,0
Music,31245719970,163887318,11223187,0
Short Movies,1021655477,5602264,464041,0
Nonprofits & Activis,13227282,336432,17205,0
Horror,2674017800,21776478,781320,0
Shorts,2901231208,13225688,1083390,0
Comedy,1255283019,4591006,487985,0
Trailers,9212795256,56325441,3491724,0
